Current Attendence Sheet Data of ACL12513  |  All Type


-,2019-07-31-08:00:00-Lect-2H-ng,2019-08-02-14:00:00-Lect-1H-ng,2019-08-07-08:00:00-Lect-2H-ng,2019-08-09-14:00:00-Lect-1H-ng,2019-08-16-14:00:00-Lect-1H-ng,2019-08-21-08:00:00-Lect-2H-ng,2019-12-13-14:00:00-Lect-1H-ng,2019-12-18-08:00:00-Lect-2H-ng,2019-12-20-14:00:00-Lect-1H-ng,2019-12-27-14:00:00-Lect-1H-ng,2020-01-01-08:00:00-Lect-2H-ng,2020-01-03-14:00:00-Lect-1H-ng,2020-01-04-08:00:00-Lect-3H-ng,2020-01-04-11:00:00-Lect-3H-ng,2020-01-08-08:00:00-Lect-2H-ng,2020-01-15-08:00:00-Lect-4H-ng,2020-01-15-12:00:00-Lect-2H-ng,2020-01-17-14:00:00-Lect-1H-ng,2020-01-21-08:00:00-Lect-2H-ng,2020-01-24-14:00:00-Lect-1H-ng,2020-01-29-08:00:00-Lect-2H-ng,2020-01-31-14:00:00-Lect-1H-ng,2020-02-05-08:00:00-Lect-2H-ng,2020-02-07-14:00:00-Lect-1H-ng,2020-02-12-08:00:00-Lect-2H-ng,2020-02-14-14:00:00-Lect-1H-ng,2020-02-19-08:00:00-Lect-2H-ng,%
HS/2018/16620,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16622,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,96 %,
HS/2018/16627,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2018/16641,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,80 %,
HS/2018/16643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,78 %,
HS/2018/16649,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,93 %,
HS/2018/16654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,85 %,
HS/2018/16662,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,85 %,
HS/2018/16667,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,89 %,
HS/2018/16673,0,1,1,0,1,0,1,1,1,0,0,1,1,1,M,M,M,1,1,1,1,1,0,0,0,1,1,72 %,
HS/2018/16682,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,M,0,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16687,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,93 %,
HS/2018/16716,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2018/16725,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,91 %,
HS/2018/16736,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/16739,1,E,1,1,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,96 %,
HS/2018/16749,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2018/16751,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,50 %,
HS/2018/16759,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,74 %,
HS/2018/16761,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,M,1,1,1,1,1,1,0,1,1,1,87 %,
HS/2018/16763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,96 %,
HS/2018/16766,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,85 %,
HS/2018/16767,E,E,E,E,E,E,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2018/16771,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,E,E,1,93 %,
HS/2018/16795,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,93 %,
HS/2018/16802,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,78 %,
HS/2018/16804,1,E,E,E,1,E,E,1,1,E,E,1,1,1,E,E,E,E,1,1,1,E,E,E,E,1,1,100 %,
HS/2018/16807,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,91 %,
HS/2018/16829,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2018/16851,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,72 %,
HS/2018/16853,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16857,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,M,M,1,1,1,0,0,1,1,1,1,1,80 %,
HS/2018/16862,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,E,E,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2018/16882,0,0,1,1,0,1,1,1,E,1,E,1,1,1,E,1,1,1,1,E,E,E,E,0,0,1,0,80 %,
HS/2018/16899,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/16902,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,M,M,M,1,1,1,1,1,0,1,1,1,87 %,
HS/2018/16922,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2018/16937,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,M,0,0,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16942,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,93 %,
HS/2018/16969,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,85 %,
HS/2018/16988,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,72 %,
HS/2018/16992,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,93 %,
HS/2018/16993,E,1,1,E,E,1,1,1,1,E,1,0,1,1,0,1,1,1,1,1,1,1,M,M,1,1,1,93 %,
HS/2018/17013,1,1,1,1,1,1,M,1,1,M,1,M,1,1,1,M,0,0,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/17027,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,89 %,
HS/2018/17030,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,41 %,
HS/2018/17043,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2018/17056,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,M,1,1,1,1,1,70 %,
HS/2018/17070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,76 %,
HS/2018/17089,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,80 %,
HS/2018/17092,E,E,1,E,E,1,1,E,1,E,E,E,1,1,E,E,E,0,1,E,0,1,0,0,1,1,0,83 %,
HS/2018/17093,1,1,1,1,1,1,1,1,E,E,1,E,E,E,E,0,E,1,1,0,E,0,1,E,0,E,1,83 %,
HS/2018/17099,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
