Current Attendence Sheet Data of ACL22513  |  All Type


-,2019-07-31-11:00:00-Lect-2H-ng,2019-08-07-11:00:00-Lect-1H-ng,2019-08-08-08:00:00-Lect-2H-ng,2019-08-15-08:00:00-Lect-2H-ng,2019-08-21-11:00:00-Lect-1H-ng,2019-08-22-08:00:00-Lect-1H-ng,2019-12-12-08:00:00-Lect-2H-ng,2019-12-18-11:00:00-Lect-1H-ng,2019-12-19-08:00:00-Lect-2H-ng,2020-01-01-11:00:00-Lect-2H-ng,2020-01-08-11:00:00-Lect-1H-ng,2020-01-09-08:00:00-Lect-2H-ng,2020-01-16-08:00:00-Lect-2H-ng,2020-01-20-08:00:00-Lect-2H-ng,2020-01-22-11:00:00-Lect-1H-ng,2020-01-23-08:00:00-Lect-2H-ng,2020-01-29-11:00:00-Lect-1H-ng,2020-02-05-11:00:00-Lect-1H-ng,2020-02-06-08:00:00-Lect-2H-ng,2020-02-12-11:00:00-Lect-1H-ng,%
HS/2017/16155,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16156,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,84 %,
HS/2017/16174,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16187,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,77 %,
HS/2017/16194,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,42 %,
HS/2017/16236,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16267,0,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16271,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,52 %,
HS/2017/16305,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,48 %,
HS/2017/16313,1,1,1,1,E,E,0,1,1,E,1,1,1,1,1,1,1,0,0,1,84 %,
HS/2017/16321,E,1,E,1,1,E,1,1,E,1,1,1,0,1,1,1,1,1,0,1,87 %,
HS/2017/16338,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,94 %,
HS/2017/16345,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16395,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,84 %,
HS/2017/16403,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,39 %,
HS/2017/16409,0,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,E,0,1,87 %,
HS/2017/16411,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,90 %,
HS/2017/16413,E,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,87 %,
HS/2017/16457,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16482,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,81 %,
HS/2017/16484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16525,E,0,E,E,0,0,E,1,1,1,1,1,1,E,1,1,1,0,1,0,84 %,
HS/2017/16554,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,94 %,
HS/2017/16555,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6 %,
HS/2017/16559,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,90 %,
HS/2017/16568,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16593,E,1,1,1,1,0,1,1,1,1,E,1,1,1,0,E,0,1,1,1,90 %,
Total,13,16,23,24,21,19,23,26,22,24,23,24,13,21,23,26,24,23,20,23,
