Current Attendence Sheet Data of ACL32613  |  All Type


-,2019-08-01-13:00:00-Lect-2H-ng,2019-08-02-11:00:00-Lect-1H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-2H-ng,2019-08-16-11:00:00-Lect-1H-ng,2019-08-22-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-13-11:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-03-11:00:00-Lect-1H-ng,2020-01-09-13:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-2H-ng,2020-01-17-11:00:00-Lect-1H-ng,2020-01-23-13:00:00-Lect-2H-ng,2020-01-24-11:00:00-Lect-1H-ng,2020-01-31-11:00:00-Lect-2H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-07-11:00:00-Lect-1H-ng,2020-02-13-13:00:00-Lect-2H-ng,%
HS/2016/15775,0,0,1,1,1,1,E,E,E,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15799,E,M,M,M,1,0,E,E,E,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15834,0,0,1,1,1,1,E,E,E,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15863,1,1,1,1,1,0,E,E,E,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15903,1,1,1,1,M,M,E,E,E,1,1,0,1,1,M,M,1,1,1,1,94 %,
HS/2016/15944,M,M,M,M,0,1,E,E,E,0,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15961,M,M,M,M,M,1,E,E,E,M,M,M,1,M,M,M,M,M,M,M,100 %,
HS/2016/15974,0,0,1,M,M,M,E,E,E,0,1,1,1,E,1,1,M,1,1,1,85 %,
HS/2016/16011,1,1,1,1,1,0,E,E,E,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16014,0,0,1,0,0,1,E,E,E,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16074,M,M,M,M,M,0,E,E,E,1,1,1,1,1,0,0,1,1,1,1,85 %,
HS/2016/16079,M,M,0,1,1,1,E,E,E,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16142,M,M,1,M,M,M,E,E,E,1,1,1,1,1,1,0,1,1,1,1,97 %,
Total,9,9,12,12,11,9,13,13,13,10,13,12,13,13,12,11,13,13,13,13,
