Current Attendence Sheet Data of ACL32633  |  All Type


-,2019-08-14-08:00:00-Lect-1H-ng,2019-08-15-08:00:00-Lect-2H-ng,2019-08-20-15:00:00-Lect-2H-ng,2019-12-11-13:00:00-Lect-2H-ng,2019-12-13-10:00:00-Lect-1H-ng,2019-12-18-15:00:00-Lect-2H-ng,2019-12-20-10:00:00-Lect-1H-ng,2019-12-27-10:00:00-Lect-1H-ng,2020-01-29-15:00:00-Lect-1H-ng,2020-02-05-14:00:00-Lect-1H-ng,%
HS/2016/15775,1,0,0,E,E,E,E,E,1,1,71 %,
HS/2016/15799,0,M,1,E,E,E,E,E,1,1,93 %,
HS/2016/15834,1,0,1,E,E,E,E,E,1,1,86 %,
HS/2016/15863,1,0,0,E,E,E,E,E,1,1,71 %,
HS/2016/15903,0,M,M,E,E,E,E,E,1,1,93 %,
HS/2016/15944,M,M,1,E,E,E,E,E,1,1,100 %,
HS/2016/15961,1,0,0,E,E,E,E,E,0,0,57 %,
HS/2016/15974,1,M,M,E,E,E,E,E,0,1,93 %,
HS/2016/16011,0,0,1,E,E,E,E,E,1,1,79 %,
HS/2016/16014,1,M,1,E,E,E,E,E,0,1,93 %,
HS/2016/16079,0,0,1,E,E,E,E,E,1,1,79 %,
HS/2016/16142,1,0,0,E,E,E,E,E,M,1,71 %,
Total,8,5,8,12,12,12,12,12,9,11,
