Current Attendence Sheet Data of ECN11513  |  All Type


-,2019-03-11-13:00:00-Lect-2H-ng,2019-03-15-16:00:00-Lect-1H-ng,2019-03-18-13:00:00-Lect-2H-ng,2019-03-25-13:00:00-Lect-2H-ng,2019-04-01-13:00:00-Lect-2H-ng,2019-04-08-13:00:00-Lect-2H-ng,2019-05-27-13:00:00-Lect-2H-ng,2019-06-03-13:00:00-Assi-1H-ng,2019-06-03-14:00:00-Lect-1H-ng,2019-06-07-16:00:00-Assi-1H-ng,2019-06-10-13:00:00-Lect-2H-ng,2019-06-17-13:00:00-Lect-2H-ng,2019-06-20-09:00:00-Lect-2H-ng,2019-06-24-13:00:00-Lect-2H-ng,2019-06-26-09:00:00-Lect-2H-ng,%
HS/2018/16636,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,58 %,
HS/2018/16639,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,54 %,
HS/2018/16640,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,50 %,
HS/2018/16646,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,62 %,
HS/2018/16648,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,62 %,
HS/2018/16661,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,69 %,
HS/2018/16671,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,62 %,
HS/2018/16690,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,62 %,
HS/2018/16697,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,35 %,
HS/2018/16698,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,62 %,
HS/2018/16699,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,54 %,
HS/2018/16706,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,38 %,
HS/2018/16710,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,62 %,
HS/2018/16723,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,62 %,
HS/2018/16731,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,69 %,
HS/2018/16732,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,77 %,
HS/2018/16746,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,69 %,
HS/2018/16752,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,54 %,
HS/2018/16764,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,31 %,
HS/2018/16765,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,42 %,
HS/2018/16769,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,58 %,
HS/2018/16770,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,42 %,
HS/2018/16772,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,35 %,
HS/2018/16779,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,46 %,
HS/2018/16782,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,69 %,
HS/2018/16788,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,38 %,
HS/2018/16790,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,65 %,
HS/2018/16794,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,58 %,
HS/2018/16798,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,31 %,
HS/2018/16799,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,42 %,
HS/2018/16819,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,69 %,
HS/2018/16825,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,69 %,
HS/2018/16830,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,54 %,
HS/2018/16832,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,50 %,
HS/2018/16833,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,58 %,
HS/2018/16834,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,42 %,
HS/2018/16844,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,77 %,
HS/2018/16855,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,46 %,
HS/2018/16868,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,62 %,
HS/2018/16869,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,54 %,
HS/2018/16874,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,69 %,
HS/2018/16875,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,69 %,
HS/2018/16878,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,19 %,
HS/2018/16885,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,62 %,
HS/2018/16895,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,46 %,
HS/2018/16901,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,69 %,
HS/2018/16903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/16904,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,62 %,
HS/2018/16917,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,73 %,
HS/2018/16919,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,69 %,
