Current Attendence Sheet Data of ECN11613  |  All Type


-,2020-06-20-09:00:00-Lect-2H-ng,%
HS/2019/17126,0,0 %,
HS/2019/17129,0,0 %,
HS/2019/17134,0,0 %,
HS/2019/17135,0,0 %,
HS/2019/17145,0,0 %,
HS/2019/17149,0,0 %,
HS/2019/17150,0,0 %,
HS/2019/17154,0,0 %,
HS/2019/17178,0,0 %,
HS/2019/17180,0,0 %,
HS/2019/17182,0,0 %,
HS/2019/17185,0,0 %,
HS/2019/17193,0,0 %,
HS/2019/17195,0,0 %,
HS/2019/17201,0,0 %,
HS/2019/17225,0,0 %,
HS/2019/17233,0,0 %,
HS/2019/17237,0,0 %,
HS/2019/17250,0,0 %,
HS/2019/17254,0,0 %,
HS/2019/17263,0,0 %,
HS/2019/17265,0,0 %,
HS/2019/17275,0,0 %,
HS/2019/17278,0,0 %,
HS/2019/17282,0,0 %,
HS/2019/17283,0,0 %,
HS/2019/17294,0,0 %,
HS/2019/17307,0,0 %,
HS/2019/17324,0,0 %,
HS/2019/17327,0,0 %,
HS/2019/17328,0,0 %,
HS/2019/17338,0,0 %,
HS/2019/17347,0,0 %,
HS/2019/17349,0,0 %,
HS/2019/17355,0,0 %,
HS/2019/17362,0,0 %,
HS/2019/17368,0,0 %,
HS/2019/17369,0,0 %,
HS/2019/17373,0,0 %,
HS/2019/17375,0,0 %,
HS/2019/17377,0,0 %,
HS/2019/17397,0,0 %,
HS/2019/17410,0,0 %,
HS/2019/17411,0,0 %,
HS/2019/17415,0,0 %,
HS/2019/17419,0,0 %,
HS/2019/17422,0,0 %,
HS/2019/17429,0,0 %,
HS/2019/17435,0,0 %,
HS/2019/17443,0,0 %,
HS/2019/17455,0,0 %,
HS/2019/17472,0,0 %,
HS/2019/17480,0,0 %,
HS/2019/17487,0,0 %,
HS/2019/17495,0,0 %,
HS/2019/17496,0,0 %,
HS/2019/17508,0,0 %,
HS/2019/17528,0,0 %,
HS/2019/17532,0,0 %,
HS/2019/17537,0,0 %,
HS/2019/17541,0,0 %,
HS/2019/17545,0,0 %,
HS/2019/17552,0,0 %,
HS/2019/17563,0,0 %,
HS/2019/17581,0,0 %,
HS/2019/17589,0,0 %,
Total,0,
