Current Attendence Sheet Data of ECN22513  |  All Type


-,2019-08-02-11:00:00-Lect-1H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-16-13:00:00-Lect-1H-ng,2019-08-16-13:00:00-Lect-1H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-12-09-08:00:00-Lect-2H-ng,2019-12-30-08:00:00-Lect-2H-ng,2020-01-03-13:00:00-Lect-1H-ng,2020-01-06-08:00:00-Lect-2H-ng,2020-01-13-08:00:00-Lect-2H-ng,2020-01-17-13:00:00-Lect-1H-ng,2020-01-20-08:00:00-Lect-2H-ng,2020-01-23-08:00:00-Lect-2H-ng,2020-01-24-13:00:00-Lect-1H-ng,2020-01-27-08:00:00-Lect-2H-ng,2020-01-31-13:00:00-Lect-1H-ng,2020-02-03-08:00:00-Lect-2H-ng,2020-02-07-13:00:00-Lect-1H-ng,2020-02-10-08:00:00-Lect-2H-ng,%
HS/2017/16184,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,73 %,
HS/2017/16193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,83 %,
HS/2017/16221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,97 %,
HS/2017/16222,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,47 %,
HS/2017/16230,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,87 %,
HS/2017/16232,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,60 %,
HS/2017/16243,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,80 %,
HS/2017/16244,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,77 %,
HS/2017/16253,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,97 %,
HS/2017/16263,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,97 %,
HS/2017/16317,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,50 %,
HS/2017/16323,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,90 %,
HS/2017/16337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,97 %,
HS/2017/16399,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2017/16402,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,87 %,
HS/2017/16410,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,83 %,
HS/2017/16412,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,33 %,
HS/2017/16464,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16483,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,93 %,
HS/2017/16501,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16503,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,77 %,
HS/2017/16512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,97 %,
HS/2017/16551,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,67 %,
HS/2017/16558,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16589,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,90 %,
Total,12,17,18,14,22,24,21,23,23,25,20,25,25,18,24,17,21,20,22,
