Current Attendence Sheet Data of ECN22623  |  All Type


-,2019-07-29-13:00:00-Lect-2H-ng,2019-08-07-13:00:00-Lect-1H-ng,2019-08-09-10:00:00-Lect-1H-ng,2019-08-15-10:00:00-Lect-2H-ng,2019-08-19-13:00:00-Lect-2H-ng,2019-08-22-10:00:00-Lect-2H-ng,2019-11-09-13:00:00-Lect-2H-ng,2019-12-12-11:00:00-Lect-1H-ng,2019-12-16-13:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-30-09:00:00-Lect-2H-ng,2019-12-30-09:00:00-Lect-2H-ng,2020-01-01-10:00:00-Lect-2H-ng,2020-01-02-10:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-2H-ng,2020-01-09-11:00:00-Lect-2H-ng,2020-01-13-13:00:00-Lect-2H-ng,2020-01-20-13:00:00-Lect-2H-ng,2020-01-23-10:00:00-Lect-2H-ng,2020-01-27-13:00:00-Lect-2H-ng,2020-01-30-10:00:00-Lect-2H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-10-13:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-2H-ng,%
HS/2017/16150,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,79 %,
HS/2017/16209,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,81 %,
HS/2017/16212,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,81 %,
HS/2017/16215,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16218,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16238,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16242,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16268,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16269,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16301,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,81 %,
HS/2017/16344,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,94 %,
HS/2017/16361,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,81 %,
HS/2017/16369,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16380,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,96 %,
HS/2017/16420,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,87 %,
HS/2017/16425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,91 %,
HS/2017/16430,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16435,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,87 %,
HS/2017/16441,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16442,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,81 %,
HS/2017/16461,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,91 %,
HS/2017/16467,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16500,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,87 %,
HS/2017/16567,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16573,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
Total,26,26,20,25,24,27,16,10,27,26,14,27,27,11,25,27,27,18,24,27,25,26,26,26,26,26,
