Current Attendence Sheet Data of ECN32513  |  All Type


-,2019-08-19-09:00:00-Lect-2H-ng,2019-11-09-10:00:00-Lect-2H-ng,2019-12-16-10:00:00-Lect-2H-ng,2019-12-16-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-06-10:00:00-Lect-2H-ng,2020-01-09-13:00:00-Lect-2H-ng,2020-01-13-10:00:00-Lect-2H-ng,2020-01-20-10:00:00-Lect-2H-ng,2020-01-23-13:00:00-Lect-2H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-2H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-10-10:00:00-Lect-2H-ng,2020-02-17-10:00:00-Lect-2H-ng,%
HS/2015/15513,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,44 %,
HS/2015/15687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15787,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,94 %,
HS/2016/15793,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88 %,
HS/2016/15821,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,81 %,
HS/2016/15839,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 %,
HS/2016/16067,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,81 %,
HS/2016/16118,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16135,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,94 %,
Total,10,4,7,7,7,8,9,4,6,8,8,9,9,9,8,9,
