Current Attendence Sheet Data of ECN32613  |  All Type


-,2019-08-05-13:00:00-Lect-1H-ng,2019-08-06-13:00:00-Lect-2H-ng,2019-08-19-13:00:00-Lect-1H-ng,2019-08-20-09:00:00-Lect-2H-ng,2019-08-20-13:00:00-Lect-1H-ng,2019-12-20-09:00:00-Lect-2H-ng,2019-12-20-10:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2019-12-23-10:00:00-Lect-1H-ng,2020-01-03-08:00:00-Lect-2H-ng,2020-01-08-08:00:00-Lect-2H-ng,2020-01-17-08:00:00-Lect-2H-ng,2020-01-17-09:00:00-Lect-2H-ng,2020-01-24-08:00:00-Lect-2H-ng,2020-01-28-13:00:00-Lect-2H-ng,2020-01-31-08:00:00-Lect-2H-ng,2020-02-07-09:00:00-Lect-2H-ng,2020-02-18-13:00:00-Lect-2H-ng,%
HS/2016/15702,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,87 %,
HS/2016/15725,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15752,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15822,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15844,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15854,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15856,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15930,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15931,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15964,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15971,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16015,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/16065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16076,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,26 %,
HS/2016/16092,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16093,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,74 %,
HS/2016/16101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16132,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,52 %,
HS/2016/16141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
Total,17,12,17,23,24,23,23,21,22,21,22,22,24,24,23,23,23,21,
