Current Attendence Sheet Data of ECN32643  |  All Type


-,2019-08-06-13:00:00-Lect-2H-ng,2019-08-07-09:00:00-Lect-1H-ng,2019-08-21-09:00:00-Assi-2H-ng,2019-12-10-13:00:00-Lect-2H-ng,2019-12-17-13:00:00-Lect-2H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-24-13:00:00-Lect-2H-ng,2019-12-31-13:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-1H-ng,2020-01-07-13:00:00-Lect-2H-ng,2020-01-08-09:00:00-Lect-1H-ng,2020-01-14-13:00:00-Lect-2H-ng,2020-01-21-13:00:00-Lect-2H-ng,2020-01-22-09:00:00-Lect-1H-ng,2020-01-26-13:00:00-Lect-2H-ng,2020-01-27-17:00:00-Lect-1H-ng,2020-02-05-09:00:00-Lect-1H-ng,2020-02-11-13:00:00-Lect-2H-ng,2020-02-12-14:00:00-Lect-2H-ng,%
HS/2016/15702,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,88 %,
HS/2016/15725,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15752,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15779,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15822,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,84 %,
HS/2016/15844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15854,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,84 %,
HS/2016/15856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,97 %,
HS/2016/15900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,94 %,
HS/2016/15909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15930,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15931,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2016/15964,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15971,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16004,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2016/16015,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,81 %,
HS/2016/16065,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16076,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,28 %,
HS/2016/16092,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,94 %,
HS/2016/16093,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,88 %,
HS/2016/16101,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,84 %,
HS/2016/16132,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,88 %,
HS/2016/16141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
Total,22,23,25,16,24,19,23,23,22,24,22,20,24,24,20,19,20,25,25,
