Current Attendence Sheet Data of GEO11513  |  All Type


-,2019-02-26-08:00:00-Lect-2H-ng,2019-02-28-13:00:00-Lect-1H-ng,2019-03-05-08:00:00-Lect-2H-ng,2019-03-07-13:00:00-Lect-1H-ng,2019-03-12-08:00:00-Lect-2H-ng,2019-03-14-13:00:00-Lect-1H-ng,2019-03-19-08:00:00-Lect-2H-ng,2019-03-21-13:00:00-Lect-1H-ng,2019-03-26-08:00:00-Lect-2H-ng,2019-03-28-13:00:00-Lect-1H-ng,2019-04-02-08:00:00-Lect-2H-ng,2019-04-04-13:00:00-Lect-1H-ng,2019-04-09-08:00:00-Lect-2H-ng,2019-04-11-13:00:00-Lect-1H-ng,2019-05-16-13:00:00-Lect-1H-ng,2019-05-21-08:00:00-Lect-2H-ng,2019-05-23-13:00:00-Lect-1H-ng,2019-05-28-08:00:00-Lect-2H-ng,2019-05-30-13:00:00-Assi-1H-ng,2019-06-04-08:00:00-Lect-2H-ng,2019-06-06-13:00:00-Lect-1H-ng,2019-06-11-08:00:00-Lect-2H-ng,2019-06-13-13:00:00-Lect-1H-ng,2019-06-18-08:00:00-Lect-2H-ng,2019-06-20-13:00:00-Lect-1H-ng,2019-06-25-08:00:00-Lect-2H-ng,2019-06-27-13:00:00-Lect-1H-ng,%
HS/2018/16621,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,43 %,
HS/2018/16622,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,73 %,
HS/2018/16623,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,60 %,
HS/2018/16626,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,53 %,
HS/2018/16627,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,58 %,
HS/2018/16629,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,58 %,
HS/2018/16630,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,60 %,
HS/2018/16632,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,53 %,
HS/2018/16633,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,55 %,
HS/2018/16634,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,48 %,
HS/2018/16635,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,68 %,
HS/2018/16637,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,63 %,
HS/2018/16638,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,63 %,
HS/2018/16642,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,60 %,
HS/2018/16643,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16645,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16649,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,55 %,
HS/2018/16651,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,50 %,
HS/2018/16652,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,55 %,
HS/2018/16654,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,65 %,
HS/2018/16655,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,48 %,
HS/2018/16656,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16658,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,55 %,
HS/2018/16660,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,58 %,
HS/2018/16662,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16663,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,65 %,
HS/2018/16664,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,63 %,
HS/2018/16665,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16666,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,60 %,
HS/2018/16668,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,48 %,
HS/2018/16669,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,53 %,
HS/2018/16670,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,43 %,
HS/2018/16674,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16676,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,33 %,
HS/2018/16677,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16680,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,38 %,
