Current Attendence Sheet Data of GEO21523  |  All Type


-,2019-02-27-13:00:00-Lect-1H-ng,2019-02-28-16:00:00-Lect-1H-ng,2019-03-07-16:00:00-Lect-1H-ng,2019-03-13-13:00:00-Lect-1H-ng,2019-03-14-10:00:00-Lect-1H-ng,2019-03-21-10:00:00-Lect-1H-ng,2019-03-21-16:00:00-Lect-1H-ng,2019-03-27-13:00:00-Lect-1H-ng,2019-03-28-10:00:00-Lect-1H-ng,2019-03-28-16:00:00-Lect-1H-ng,2019-04-03-13:00:00-Lect-1H-ng,2019-04-04-10:00:00-Lect-1H-ng,2019-04-04-16:00:00-Lect-1H-ng,2019-04-05-10:00:00-Lect-1H-ng,2019-05-15-13:00:00-Lect-1H-ng,2019-05-16-10:00:00-Lect-1H-ng,2019-05-16-16:00:00-Lect-1H-ng,2019-05-22-13:00:00-Lect-1H-ng,2019-05-23-10:00:00-Lect-1H-ng,2019-05-23-16:00:00-Lect-1H-ng,2019-05-29-13:00:00-Lect-1H-ng,2019-05-30-10:00:00-Lect-1H-ng,2019-05-30-16:00:00-Lect-1H-ng,2019-06-06-10:00:00-Lect-1H-ng,2019-06-06-16:00:00-Lect-1H-ng,2019-06-27-16:00:00-Lect-1H-ng,%
HS/2017/16147,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,35 %,
HS/2017/16151,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,54 %,
HS/2017/16153,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,31 %,
HS/2017/16155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,15 %,
HS/2017/16156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,19 %,
HS/2017/16161,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,38 %,
HS/2017/16171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,23 %,
HS/2017/16173,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,38 %,
HS/2017/16174,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,31 %,
HS/2017/16177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8 %,
HS/2017/16182,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,15 %,
HS/2017/16183,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,35 %,
HS/2017/16184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8 %,
HS/2017/16193,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,38 %,
HS/2017/16195,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,35 %,
HS/2017/16197,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,35 %,
HS/2017/16198,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12 %,
HS/2017/16211,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19 %,
HS/2017/16214,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,38 %,
HS/2017/16222,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23 %,
HS/2017/16225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4 %,
HS/2017/16226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,12 %,
HS/2017/16229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,27 %,
HS/2017/16230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,12 %,
HS/2017/16233,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,38 %,
HS/2017/16236,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,27 %,
HS/2017/16244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4 %,
HS/2017/16250,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,23 %,
