Current Attendence Sheet Data of GEO22513  |  All Type


-,2019-08-02-08:00:00-Lect-1H-ng,2019-08-05-10:00:00-Lect-2H-ng,2019-08-09-08:00:00-Lect-1H-ng,2019-08-16-08:00:00-Lect-1H-ng,2019-08-19-09:00:00-Lect-1H-ng,2019-12-09-09:00:00-Lect-1H-ng,2019-12-13-09:00:00-Lect-1H-ng,2019-12-16-12:00:00-Lect-2H-ng,2019-12-20-09:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2019-12-27-09:00:00-Lect-1H-ng,2019-12-30-12:00:00-Lect-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-13-09:00:00-Lect-2H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-24-09:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-02-03-12:00:00-Lect-2H-ng,2020-02-07-09:00:00-Lect-1H-ng,2020-02-10-09:00:00-Lect-1H-ng,2020-02-14-09:00:00-Lect-1H-ng,2020-02-17-09:00:00-Lect-2H-ng,2020-02-18-13:00:00-Lect-1H-ng,%
HS/2017/16147,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16153,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16155,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16156,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16161,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,94 %,
HS/2017/16171,M,M,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16173,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,88 %,
HS/2017/16174,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16177,M,M,1,1,1,1,0,1,0,1,0,M,M,1,1,1,1,1,1,M,1,1,1,0,88 %,
HS/2017/16182,M,M,M,M,M,M,M,1,1,1,M,M,1,1,M,1,1,1,1,1,0,1,1,1,97 %,
HS/2017/16183,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16184,0,1,1,0,1,M,0,0,1,1,M,0,1,1,1,M,1,1,1,1,1,1,0,0,71 %,
HS/2017/16193,1,1,1,1,1,M,1,1,1,1,1,1,1,M,1,1,1,1,1,M,M,M,1,0,97 %,
HS/2017/16195,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16198,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,82 %,
HS/2017/16211,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16214,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16222,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,41 %,
HS/2017/16225,M,M,1,M,M,M,1,1,M,M,M,1,M,1,1,1,M,1,1,1,1,1,1,0,97 %,
HS/2017/16226,M,M,1,1,1,1,M,1,1,1,M,1,1,1,1,1,M,1,1,1,1,1,1,0,97 %,
