Current Attendence Sheet Data of GEO22623  |  All Type


-,2019-07-31-08:00:00-Lect-1H-ng,2019-07-31-15:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-07-08:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-08-21-09:00:00-Lect-2H-ng,2019-12-17-10:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-1H-ng,2019-12-18-08:00:00-Lect-1H-ng,2019-12-18-10:00:00-Lect-1H-ng,2019-12-24-09:00:00-Lect-2H-ng,2019-12-31-09:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-1H-ng,2020-01-07-09:00:00-Lect-2H-ng,2020-01-08-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-22-09:00:00-Lect-2H-ng,2020-01-22-09:00:00-Lect-1H-ng,2020-01-24-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-3H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-07-10:00:00-Lect-1H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-18-09:00:00-Lect-2H-ng,%
HS/2017/16145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,97 %,
HS/2017/16146,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,69 %,
HS/2017/16159,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16160,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,92 %,
HS/2017/16175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,95 %,
HS/2017/16176,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,56 %,
HS/2017/16180,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16181,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16189,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,79 %,
HS/2017/16192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16213,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,90 %,
HS/2017/16217,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16227,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,92 %,
HS/2017/16234,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,92 %,
HS/2017/16235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,92 %,
HS/2017/16239,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,87 %,
HS/2017/16241,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16257,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16266,M,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,0,0,1,1,1,1,95 %,
HS/2017/16272,0,0,1,1,M,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16282,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16294,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16295,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16299,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16304,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,92 %,
HS/2017/16307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,95 %,
HS/2017/16308,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
