Current Attendence Sheet Data of GEO22633  |  All Type


-,2019-08-01-08:00:00-Lect-1H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-06-08:00:00-Lect-1H-ng,2019-08-13-08:00:00-Lect-1H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-08-20-08:00:00-Lect-1H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-12-09:00:00-Lect-1H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-1H-ng,2019-12-24-09:00:00-Lect-1H-ng,2019-12-30-09:00:00-Lect-2H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-02-10:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-13-08:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-03-09:00:00-Lect-1H-ng,2020-02-10-08:00:00-Lect-1H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-17-10:00:00-Lect-2H-ng,%
HS/2017/16145,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16146,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,76 %,
HS/2017/16159,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,89 %,
HS/2017/16175,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16176,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,63 %,
HS/2017/16180,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,89 %,
HS/2017/16181,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16189,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,58 %,
HS/2017/16192,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
