Current Attendence Sheet Data of GEO32623  |  All Type


-,2019-07-29-10:00:00-Lect-2H-ng,2019-08-01-10:00:00-Lect-1H-ng,2019-08-05-09:00:00-Lect-1H-ng,2019-08-09-09:00:00-Lect-2H-ng,2019-08-16-09:00:00-Lect-2H-ng,2019-12-09-09:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-1H-ng,2019-12-20-09:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2020-01-03-09:00:00-Lect-2H-ng,2020-01-03-09:00:00-Lect-1H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-09-08:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-17-09:00:00-Lect-2H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-24-09:00:00-Lect-1H-ng,2020-02-07-09:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-3H-ng,2020-02-14-09:00:00-Lect-1H-ng,%
HS/2016/15706,0,1,0,1,M,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,90 %,
HS/2016/15710,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15713,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15726,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15740,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15741,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15750,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15753,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15765,0,1,0,1,M,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,90 %,
HS/2016/15778,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15790,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15794,0,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,M,1,1,1,94 %,
HS/2016/15805,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15816,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,87 %,
HS/2016/15818,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15820,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15827,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15830,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15837,M,M,M,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2016/15850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15866,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15872,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15873,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,87 %,
HS/2016/15874,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15878,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15882,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2016/15894,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15914,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15920,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15927,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15929,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,87 %,
HS/2016/15932,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,84 %,
HS/2016/15946,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15947,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15950,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15951,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15956,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2016/15957,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15973,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15979,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15985,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15989,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16003,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,87 %,
HS/2016/16005,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/16006,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2016/16023,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16048,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16059,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16061,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/16064,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,84 %,
HS/2016/16096,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,84 %,
HS/2016/16098,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16115,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16121,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2016/16140,M,M,1,1,0,M,1,1,1,1,1,1,1,1,1,1,1,1,M,1,94 %,
Total,9,47,51,56,52,53,51,51,58,57,58,58,58,58,57,55,55,57,53,58,
