Current Attendence Sheet Data of GEO32633  |  All Type


-,2019-07-31-09:00:00-Lect-1H-ng,2019-08-01-09:00:00-Lect-2H-ng,2019-08-15-09:00:00-Lect-1H-ng,2019-08-21-08:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-18-09:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-1H-ng,2019-12-24-09:00:00-Lect-2H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-07-09:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-13-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-2H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-22-09:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-05-09:00:00-Lect-1H-ng,2020-02-11-12:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-2H-ng,2020-02-18-10:00:00-Lect-1H-ng,%
HS/2016/15706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,93 %,
HS/2016/15710,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2016/15713,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,86 %,
HS/2016/15726,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,93 %,
HS/2016/15740,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15741,1,M,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2016/15750,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,96 %,
HS/2016/15765,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,86 %,
HS/2016/15778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
