Current Attendence Sheet Data of GEO32663  |  All Type


-,2019-08-01-13:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-13-15:00:00-Lect-1H-ng,2019-08-15-08:00:00-Lect-2H-ng,2019-08-22-08:00:00-Lect-2H-ng,2019-08-22-15:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-23-09:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2019-12-24-09:00:00-Lect-2H-ng,2019-12-30-09:00:00-Lect-3H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-06-09:00:00-Lect-1H-ng,2020-01-13-09:00:00-Lect-3H-ng,2020-01-17-09:00:00-Lect-2H-ng,2020-01-20-09:00:00-Lect-3H-ng,2020-01-27-09:00:00-Lect-3H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-02-03-14:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-14-09:00:00-Lect-1H-ng,2020-02-17-15:00:00-Lect-2H-ng,2020-02-18-09:00:00-Lect-1H-ng,%
HS/2016/15706,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15710,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15713,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,90 %,
HS/2016/15726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15740,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15741,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15750,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2016/15753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15765,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,83 %,
HS/2016/15778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15790,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,90 %,
HS/2016/15794,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,92 %,
HS/2016/15818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15820,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,98 %,
HS/2016/15830,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15837,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2016/15850,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15866,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2016/15873,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2016/15874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15894,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
