Current Attendence Sheet Data of PAL11513  |  All Type


-,2019-02-25-08:00:00-Lect-2H-ng,2019-02-28-13:00:00-Lect-1H-ng,2019-03-05-09:00:00-Lect-1H-ng,2019-03-07-13:00:00-Lect-1H-ng,2019-03-12-09:00:00-Lect-1H-ng,2019-03-14-13:00:00-Lect-1H-ng,2019-03-21-13:00:00-Lect-1H-ng,2019-03-26-09:00:00-Lect-1H-ng,2019-03-28-13:00:00-Lect-1H-ng,2019-04-02-09:00:00-Lect-1H-ng,2019-05-23-13:00:00-Lect-1H-ng,%
HS/2018/16701,1,1,1,1,1,1,0,1,1,0,1,83 %,
HS/2018/17087,0,0,0,0,1,1,1,0,1,1,1,50 %,
HS/2018/17089,0,0,0,0,1,1,0,1,1,1,0,42 %,
HS/2018/17091,0,0,0,0,1,1,1,0,1,1,1,50 %,
HS/2018/17092,0,0,0,0,1,1,1,1,1,1,1,58 %,
HS/2018/17103,0,0,0,0,1,1,1,1,0,1,1,50 %,
HS/2018/17104,0,0,0,0,1,1,1,0,0,1,1,42 %,
HS/2018/17106,0,0,0,0,1,1,1,1,1,1,1,58 %,
HS/2018/17109,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/17111,0,0,0,0,0,0,0,0,1,0,0,8 %,
Total,1,1,1,1,8,8,6,5,7,7,7,
