Current Attendence Sheet Data of PAL12513  |  All Type


-,2019-08-02-08:00:00-Lect-1H-ng,2019-08-06-14:00:00-Lect-2H-ng,2019-08-09-08:00:00-Lect-1H-ng,2019-08-13-14:00:00-Lect-2H-ng,2019-08-16-08:00:00-Lect-1H-ng,2019-08-20-14:00:00-Lect-2H-ng,2019-12-13-08:00:00-Lect-1H-ng,2019-12-17-14:00:00-Lect-2H-ng,2019-12-24-14:00:00-Lect-2H-ng,2019-12-31-14:00:00-Lect-2H-ng,2020-01-03-08:00:00-Lect-1H-ng,2020-01-07-14:00:00-Lect-2H-ng,2020-01-08-15:00:00-Lect-1H-ng,2020-01-14-14:00:00-Lect-2H-ng,2020-01-17-08:00:00-Lect-1H-ng,2020-01-21-14:00:00-Lect-2H-ng,%
HS/2018/16701,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/17087,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2018/17089,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2018/17091,0,1,1,E,1,1,0,1,1,1,0,1,0,1,0,1,80 %,
HS/2018/17092,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2018/17103,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,80 %,
HS/2018/17104,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,84 %,
HS/2018/17106,0,1,1,0,1,1,1,E,1,E,1,1,1,1,0,1,84 %,
HS/2018/17109,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,80 %,
HS/2018/17111,1,1,1,1,0,1,E,E,1,1,0,1,1,1,0,0,80 %,
Total,5,10,10,3,9,10,8,10,10,9,7,9,9,9,3,9,
