Current Attendence Sheet Data of POS11513  |  All Type


-,2019-02-26-14:00:00-Lect-2H-ng,2019-03-05-14:00:00-Lect-2H-ng,2019-03-13-13:00:00-Lect-1H-ng,2019-03-18-09:00:00-Lect-2H-ng,2019-03-19-14:00:00-Lect-2H-ng,2019-03-25-15:00:00-Lect-1H-ng,2019-04-01-09:00:00-Lect-1H-ng,2019-04-08-14:00:00-Lect-1H-ng,2019-04-09-14:00:00-Lect-2H-ng,2019-05-21-14:00:00-Lect-2H-ng,2019-05-27-14:00:00-Lect-1H-ng,2019-05-28-14:00:00-Lect-1H-ng,2019-06-04-14:00:00-Lect-2H-ng,2019-06-10-15:00:00-Lect-1H-ng,2019-06-11-14:00:00-Lect-2H-ng,2019-06-17-14:00:00-Lect-2H-ng,2019-06-18-14:00:00-Lect-2H-ng,2019-06-24-09:00:00-Lect-1H-ng,2019-06-25-14:00:00-Lect-2H-ng,2019-07-01-15:00:00-Lect-1H-ng,2019-07-02-14:00:00-Lect-2H-ng,%
HS/2018/16620,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,58 %,
HS/2018/16624,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,30 %,
HS/2018/16625,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,42 %,
HS/2018/16628,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,52 %,
HS/2018/16630,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,42 %,
HS/2018/16632,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,45 %,
HS/2018/16641,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,21 %,
HS/2018/16644,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,33 %,
HS/2018/16647,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,42 %,
HS/2018/16657,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,39 %,
HS/2018/16659,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,36 %,
HS/2018/16668,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,48 %,
HS/2018/16672,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,42 %,
HS/2018/16673,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,45 %,
HS/2018/16675,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,45 %,
HS/2018/16676,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,30 %,
HS/2018/16678,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,48 %,
HS/2018/16679,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,24 %,
HS/2018/16683,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,42 %,
HS/2018/16684,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,55 %,
HS/2018/16688,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,24 %,
HS/2018/16691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3 %,
HS/2018/16699,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,21 %,
HS/2018/16700,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6 %,
HS/2018/16703,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,61 %,
HS/2018/16704,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,39 %,
HS/2018/16708,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,52 %,
HS/2018/16711,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,61 %,
HS/2018/16713,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,36 %,
HS/2018/16714,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,33 %,
HS/2018/16717,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,33 %,
HS/2018/16719,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,36 %,
