Current Attendence Sheet Data of POS12513  |  All Type


-,2019-07-29-14:00:00-Lect-1H-ng,2019-07-31-15:00:00-Lect-2H-ng,2019-08-05-14:00:00-Lect-1H-ng,2019-08-07-15:00:00-Lect-2H-ng,2019-08-21-15:00:00-Lect-2H-ng,2019-12-09-14:00:00-Lect-1H-ng,2019-12-12-14:00:00-Lect-1H-ng,2019-12-16-14:00:00-Lect-1H-ng,2019-12-18-15:00:00-Lect-2H-ng,2019-12-23-14:00:00-Lect-1H-ng,2019-12-30-14:00:00-Lect-1H-ng,2020-01-01-15:00:00-Lect-2H-ng,2020-01-06-14:00:00-Lect-1H-ng,2020-01-08-15:00:00-Lect-2H-ng,2020-01-13-14:00:00-Lect-1H-ng,2020-01-20-14:00:00-Lect-1H-ng,2020-01-22-15:00:00-Lect-2H-ng,2020-01-27-14:00:00-Lect-1H-ng,2020-01-29-15:00:00-Lect-2H-ng,2020-02-03-14:00:00-Lect-1H-ng,2020-02-05-15:00:00-Lect-2H-ng,2020-02-10-14:00:00-Lect-1H-ng,2020-02-13-12:00:00-Lect-1H-ng,2020-02-17-12:00:00-Lect-1H-ng,2020-02-17-14:00:00-Lect-1H-ng,2020-02-19-15:00:00-Lect-2H-ng,%
HS/2018/16620,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16624,M,1,M,1,M,1,1,1,M,1,1,M,1,1,1,1,1,1,1,M,M,M,M,1,1,1,100 %,
HS/2018/16625,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,89 %,
HS/2018/16628,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,83 %,
HS/2018/16630,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16632,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,92 %,
HS/2018/16641,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2018/16644,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,83 %,
HS/2018/16647,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,89 %,
HS/2018/16657,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,81 %,
