Current Attendence Sheet Data of POS21513  |  All Type


-,2019-03-18-16:00:00-Lect-1H-ng,2019-03-27-08:00:00-Lect-2H-ng,2019-04-01-16:00:00-Lect-1H-ng,2019-04-03-08:00:00-Lect-2H-ng,2019-04-08-16:00:00-Lect-1H-ng,2019-04-10-08:00:00-Lect-2H-ng,2019-05-21-08:00:00-Lect-2H-ng,2019-05-22-16:00:00-Lect-1H-ng,2019-06-12-08:00:00-Lect-2H-ng,2019-06-18-11:00:00-Lect-1H-ng,%
HS/2015/15617,1,1,1,1,1,1,1,0,1,0,87 %,
HS/2017/16162,1,1,1,0,1,0,0,0,0,0,33 %,
HS/2017/16171,1,1,1,1,1,0,0,0,0,0,47 %,
HS/2017/16178,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16185,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16187,0,0,0,0,1,0,0,0,1,0,20 %,
HS/2017/16197,1,0,1,1,1,0,0,0,1,1,53 %,
HS/2017/16219,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16220,0,0,0,0,0,0,0,1,1,1,27 %,
HS/2017/16221,0,1,1,1,0,0,0,0,1,0,47 %,
HS/2017/16225,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16228,1,1,1,1,1,0,0,1,1,1,73 %,
HS/2017/16232,0,1,1,0,0,0,0,0,0,0,20 %,
HS/2017/16233,0,1,1,1,0,1,0,1,1,0,67 %,
HS/2017/16236,0,0,0,0,1,1,0,0,0,0,20 %,
HS/2017/16237,1,0,0,0,1,0,0,0,0,1,20 %,
HS/2017/16243,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16244,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16256,1,1,1,1,0,0,0,0,1,0,53 %,
HS/2017/16261,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16273,0,1,1,1,1,0,0,0,1,1,60 %,
HS/2017/16279,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16283,0,0,0,1,1,0,0,0,1,0,33 %,
HS/2017/16287,1,1,0,0,1,0,0,1,1,0,47 %,
HS/2017/16288,1,1,1,1,0,0,1,0,1,0,67 %,
HS/2017/16305,0,0,0,0,0,0,0,0,1,0,13 %,
HS/2017/16311,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16321,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16322,1,1,1,1,1,0,0,1,0,1,60 %,
HS/2017/16324,1,1,1,1,0,0,0,0,1,0,53 %,
HS/2017/16330,0,0,0,0,0,0,0,0,1,1,20 %,
HS/2017/16334,1,0,1,0,0,0,0,1,1,0,33 %,
HS/2017/16357,1,0,0,0,1,0,1,0,1,0,40 %,
HS/2017/16359,0,0,0,0,1,0,0,0,1,0,20 %,
HS/2017/16373,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16375,1,1,0,1,1,0,0,0,1,0,53 %,
HS/2017/16378,1,0,0,0,0,0,0,1,1,0,27 %,
HS/2017/16393,0,0,1,0,0,0,0,0,1,0,20 %,
HS/2017/16398,0,1,1,1,1,0,1,0,1,0,67 %,
HS/2017/16404,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16423,0,0,1,1,1,0,0,0,1,1,47 %,
HS/2017/16432,1,1,1,1,1,0,1,0,1,0,73 %,
HS/2017/16436,0,1,0,1,1,1,1,0,1,0,73 %,
HS/2017/16445,0,1,0,1,0,0,0,1,1,0,47 %,
HS/2017/16450,1,1,0,1,1,1,0,0,0,0,53 %,
HS/2017/16453,1,1,0,0,1,0,0,0,1,1,47 %,
HS/2017/16456,0,0,0,1,1,0,0,0,1,0,33 %,
HS/2017/16457,1,1,0,1,1,0,0,0,0,0,40 %,
HS/2017/16460,1,1,0,1,0,0,0,1,1,1,60 %,
HS/2017/16464,1,0,0,0,1,0,0,0,1,0,27 %,
HS/2017/16473,0,1,0,1,0,0,0,0,1,1,47 %,
HS/2017/16480,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16481,1,0,0,0,0,0,0,1,1,0,27 %,
HS/2017/16491,0,0,0,0,0,0,0,0,1,0,13 %,
HS/2017/16498,1,1,0,0,1,1,0,1,1,1,67 %,
HS/2017/16502,0,0,1,0,1,0,0,0,1,0,27 %,
HS/2017/16503,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16508,1,0,0,0,0,0,0,1,1,0,27 %,
HS/2017/16513,1,1,0,0,0,0,0,0,0,0,20 %,
HS/2017/16520,0,0,0,0,0,0,0,0,1,1,20 %,
HS/2017/16547,1,0,1,0,0,0,0,0,0,1,20 %,
HS/2017/16560,0,1,1,0,0,0,0,0,1,0,33 %,
HS/2017/16561,0,0,0,0,1,0,0,0,1,0,20 %,
HS/2017/16563,1,1,1,0,1,0,1,0,1,1,67 %,
HS/2017/16564,0,1,1,0,1,1,0,1,1,1,67 %,
HS/2017/16568,1,1,0,0,1,0,0,0,1,0,40 %,
HS/2017/16576,1,0,1,0,1,0,0,1,1,1,47 %,
HS/2017/16578,0,0,0,0,0,0,0,0,1,0,13 %,
HS/2017/16586,0,0,0,0,0,0,0,0,1,0,13 %,
HS/2017/16589,0,1,0,0,0,0,1,0,1,0,40 %,
HS/2017/16593,0,1,0,1,0,0,0,0,1,0,40 %,
Total,29,31,24,24,31,7,8,14,47,17,
