Current Attendence Sheet Data of POS21523  |  All Type


-,2019-04-01-14:00:00-Lect-2H-ng,2019-04-08-14:00:00-Lect-2H-ng,2019-05-27-14:00:00-Lect-1H-ng,2019-06-04-16:00:00-Lect-1H-ng,2019-06-06-11:00:00-Lect-1H-ng,2019-06-10-14:00:00-Lect-2H-ng,2019-06-11-16:00:00-Lect-1H-ng,2019-06-13-11:00:00-Lect-1H-ng,%
HS/2017/16162,1,1,0,0,1,1,0,1,73 %,
HS/2017/16171,1,1,0,0,1,1,0,0,64 %,
HS/2017/16187,0,1,0,0,0,0,0,0,18 %,
HS/2017/16197,1,1,0,1,1,1,1,1,91 %,
HS/2017/16219,0,0,0,0,0,0,0,0,0 %,
HS/2017/16220,0,0,0,1,1,1,1,1,55 %,
HS/2017/16228,1,1,0,1,1,1,0,0,73 %,
HS/2017/16232,1,0,0,0,1,1,0,0,45 %,
HS/2017/16233,1,1,0,1,1,0,1,1,73 %,
HS/2017/16237,0,1,0,0,1,0,0,1,36 %,
HS/2017/16256,1,0,0,1,1,0,1,1,55 %,
HS/2017/16261,0,0,0,0,0,0,0,0,0 %,
HS/2017/16279,0,0,0,0,0,0,0,0,0 %,
HS/2017/16283,0,1,0,0,1,0,1,0,36 %,
HS/2017/16287,0,1,0,1,1,1,1,1,73 %,
HS/2017/16288,1,1,0,1,1,1,1,1,91 %,
HS/2017/16305,0,0,0,0,0,0,0,0,0 %,
HS/2017/16322,1,1,0,1,1,1,0,1,82 %,
HS/2017/16324,1,1,0,0,1,1,0,1,73 %,
HS/2017/16334,1,1,0,0,0,1,1,1,73 %,
HS/2017/16341,1,0,0,1,0,0,0,0,27 %,
HS/2017/16357,0,1,0,0,1,0,1,0,36 %,
HS/2017/16375,0,0,0,0,0,0,0,0,0 %,
HS/2017/16398,1,1,0,1,0,0,1,1,64 %,
HS/2017/16404,0,0,0,0,0,1,0,0,18 %,
HS/2017/16423,1,1,0,1,1,0,0,1,64 %,
HS/2017/16432,1,0,0,1,0,0,1,1,45 %,
HS/2017/16436,1,1,0,1,0,0,1,1,64 %,
HS/2017/16453,1,0,0,1,1,0,1,1,55 %,
HS/2017/16460,1,0,0,0,1,1,1,1,64 %,
HS/2017/16473,1,1,0,1,1,0,1,0,64 %,
HS/2017/16480,0,0,0,1,1,1,1,0,45 %,
HS/2017/16481,0,0,0,0,1,1,0,0,27 %,
HS/2017/16498,1,1,0,1,1,1,1,0,82 %,
HS/2017/16513,1,1,0,0,1,0,0,0,45 %,
HS/2017/16547,1,0,0,0,1,0,0,0,27 %,
HS/2017/16560,0,0,0,0,0,1,0,0,18 %,
HS/2017/16563,1,1,0,0,1,1,1,1,82 %,
HS/2017/16564,1,1,0,1,1,1,1,1,91 %,
HS/2017/16568,0,1,0,0,1,1,0,0,45 %,
HS/2017/16576,0,1,0,0,1,1,1,1,64 %,
HS/2017/16586,0,0,0,0,0,1,1,1,36 %,
Total,24,24,0,18,28,22,21,21,
