Current Attendence Sheet Data of POS22513  |  All Type


-,2019-08-01-11:00:00-Lect-1H-ng,2019-08-02-14:00:00-Lect-2H-ng,2019-08-08-11:00:00-Lect-1H-ng,2019-08-09-14:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-08-16-14:00:00-Lect-2H-ng,2019-08-22-11:00:00-Lect-1H-ng,2019-08-23-14:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-20-14:00:00-Lect-2H-ng,2020-01-02-11:00:00-Lect-1H-ng,2020-01-03-14:00:00-Lect-2H-ng,2020-01-09-11:00:00-Lect-1H-ng,2020-01-17-14:00:00-Lect-2H-ng,2020-01-23-11:00:00-Lect-1H-ng,2020-01-24-14:00:00-Lect-2H-ng,2020-01-30-11:00:00-Lect-1H-ng,2020-01-31-14:00:00-Lect-2H-ng,2020-02-06-11:00:00-Lect-1H-ng,2020-02-07-14:00:00-Lect-2H-ng,2020-02-13-11:00:00-Lect-1H-ng,2020-02-14-14:00:00-Lect-2H-ng,2020-02-20-11:00:00-Lect-1H-ng,%
HS/2015/15617,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16162,1,0,M,M,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16171,M,M,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16185,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,32 %,
HS/2017/16187,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,79 %,
HS/2017/16197,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16219,M,0,M,1,1,M,M,M,1,1,1,1,1,1,1,M,1,1,1,1,1,1,0,91 %,
HS/2017/16220,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16221,1,1,0,1,1,1,0,M,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16225,0,1,E,E,1,1,1,0,1,E,1,1,1,1,E,1,1,1,1,1,1,1,1,91 %,
HS/2017/16228,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16232,0,0,M,1,M,M,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,50 %,
HS/2017/16236,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16237,1,E,M,M,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16243,E,E,E,E,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16244,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,56 %,
HS/2017/16256,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16273,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16279,1,1,1,E,1,1,E,1,1,1,1,1,1,1,1,E,1,0,1,1,1,0,0,85 %,
HS/2017/16283,1,1,0,0,1,1,M,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16287,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16288,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,91 %,
HS/2017/16305,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,38 %,
HS/2017/16311,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,24 %,
HS/2017/16321,E,E,E,E,1,E,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,100 %,
HS/2017/16322,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16324,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,E,1,1,1,1,1,85 %,
HS/2017/16330,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,65 %,
HS/2017/16334,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2017/16357,0,1,0,0,1,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16359,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16373,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,76 %,
HS/2017/16375,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16378,M,M,1,0,0,0,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16393,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,74 %,
HS/2017/16398,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2017/16404,1,E,E,1,1,1,E,E,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,91 %,
HS/2017/16423,E,E,E,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,85 %,
HS/2017/16432,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16436,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16445,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16450,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16456,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,M,1,M,M,1,1,0,82 %,
HS/2017/16457,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16460,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16464,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2017/16473,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16480,1,M,M,1,M,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,M,0,0,91 %,
HS/2017/16481,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,91 %,
HS/2017/16498,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16502,0,0,1,0,0,1,0,0,1,1,1,E,E,1,E,1,1,E,1,1,1,E,1,74 %,
HS/2017/16503,0,0,1,M,M,M,M,M,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,76 %,
HS/2017/16508,0,M,1,M,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16513,M,M,M,M,1,0,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16520,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,85 %,
HS/2017/16547,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16560,E,E,0,1,1,1,1,0,1,1,1,1,1,1,E,1,E,1,1,1,1,1,1,91 %,
HS/2017/16561,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79 %,
HS/2017/16563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16568,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16576,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16578,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16586,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16589,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16593,M,M,M,1,1,1,1,M,1,1,1,1,1,1,M,M,1,1,1,1,1,1,1,100 %,
Total,48,49,54,57,57,63,54,22,63,61,65,61,64,68,63,65,61,60,64,59,61,62,55,
