Current Attendence Sheet Data of POS22623  |  All Type


-,2019-08-01-09:00:00-Lect-2H-ng,2019-08-01-15:00:00-Lect-1H-ng,2019-08-08-09:00:00-Lect-2H-ng,2019-08-15-10:00:00-Lect-1H-ng,2019-08-15-15:00:00-Lect-1H-ng,2019-08-19-11:00:00-Lect-1H-ng,2019-08-22-09:00:00-Lect-1H-ng,2019-12-09-11:00:00-Lect-1H-ng,2019-12-12-10:00:00-Lect-1H-ng,2019-12-12-15:00:00-Lect-1H-ng,2019-12-16-09:00:00-Lect-1H-ng,2019-12-17-11:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-11:00:00-Lect-1H-ng,2019-12-24-11:00:00-Lect-1H-ng,2019-12-31-11:00:00-Lect-1H-ng,2020-01-01-13:00:00-Lect-1H-ng,2020-01-06-11:00:00-Lect-1H-ng,2020-01-07-11:00:00-Lect-1H-ng,2020-01-08-13:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-2H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-27-12:00:00-Lect-2H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-03-13:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-2H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-12-12:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-1H-ng,2020-02-20-09:00:00-Lect-2H-ng,%
HS/2017/16165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16167,M,M,M,1,1,M,M,1,1,1,M,1,1,M,M,1,1,M,M,1,1,M,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16188,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16202,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,95 %,
HS/2017/16291,E,E,1,M,M,M,1,1,1,1,1,1,M,M,M,0,M,1,M,1,M,1,1,0,0,1,1,1,1,1,1,1,1,88 %,
HS/2017/16298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,100 %,
HS/2017/16325,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2017/16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16332,E,E,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
