Current Attendence Sheet Data of POS22633  |  All Type


-,2019-08-19-14:00:00-Lect-1H-ng,2019-12-09-14:00:00-Lect-1H-ng,2019-12-13-10:00:00-Lect-2H-ng,2019-12-16-14:00:00-Lect-1H-ng,2019-12-20-10:00:00-Lect-2H-ng,2019-12-23-14:00:00-Lect-1H-ng,2020-01-03-10:00:00-Lect-2H-ng,2020-01-06-14:00:00-Lect-1H-ng,2020-01-13-14:00:00-Lect-1H-ng,2020-01-17-10:00:00-Lect-2H-ng,2020-01-20-14:00:00-Lect-1H-ng,2020-01-23-08:00:00-Lect-1H-ng,2020-02-07-10:00:00-Lect-2H-ng,2020-02-10-14:00:00-Lect-1H-ng,2020-02-14-10:00:00-Lect-2H-ng,2020-02-17-14:00:00-Lect-1H-ng,2020-02-19-10:00:00-Lect-1H-ng,2020-02-20-08:00:00-Lect-1H-ng,%
HS/2017/16165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16167,1,1,M,M,M,M,1,1,1,1,1,M,1,1,1,1,1,1,100 %,
HS/2017/16178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16188,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16291,1,1,1,1,1,M,M,M,1,1,1,0,1,1,1,1,1,1,96 %,
HS/2017/16298,1,1,E,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,92 %,
HS/2017/16325,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16332,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,83 %,
HS/2017/16333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16335,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16339,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16362,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16363,M,1,1,1,1,1,1,1,M,M,1,0,1,1,1,1,1,1,96 %,
HS/2017/16397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16418,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16459,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16463,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16465,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16479,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16495,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16496,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16497,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16571,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16587,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
Total,24,19,23,25,23,22,26,23,24,26,26,24,26,26,25,26,26,25,
