Current Attendence Sheet Data of POS22643  |  All Type


-,2019-08-05-15:00:00-Lect-1H-ng,2019-08-13-15:00:00-Lect-2H-ng,2019-08-19-15:00:00-Lect-1H-ng,2019-12-09-15:00:00-Lect-1H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-13-09:00:00-Lect-1H-ng,2019-12-16-15:00:00-Lect-1H-ng,2019-12-17-15:00:00-Lect-2H-ng,2019-12-20-09:00:00-Lect-1H-ng,2020-01-06-15:00:00-Lect-1H-ng,2020-01-07-15:00:00-Lect-2H-ng,2020-01-14-15:00:00-Lect-2H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-20-15:00:00-Lect-1H-ng,2020-01-22-14:00:00-Lect-2H-ng,2020-01-24-09:00:00-Lect-1H-ng,2020-01-28-15:00:00-Lect-2H-ng,2020-01-31-09:00:00-Lect-1H-ng,2020-02-07-09:00:00-Lect-1H-ng,2020-02-10-15:00:00-Lect-1H-ng,2020-02-11-15:00:00-Lect-1H-ng,2020-02-14-09:00:00-Lect-1H-ng,2020-02-17-15:00:00-Lect-1H-ng,2020-02-18-09:00:00-Lect-1H-ng,2020-02-19-09:00:00-Lect-1H-ng,%
HS/2017/16165,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16167,1,M,1,1,M,M,M,1,M,1,M,1,1,1,1,1,M,M,1,1,M,1,1,1,1,100 %,
HS/2017/16178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16291,0,M,1,1,1,1,1,1,1,M,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,87 %,
HS/2017/16325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16332,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16363,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,81 %,
HS/2017/16418,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16459,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16463,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,87 %,
HS/2017/16465,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16479,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16493,1,0,1,1,1,1,1,M,M,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16495,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,90 %,
HS/2017/16497,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16571,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
Total,19,12,16,16,17,15,19,18,17,17,18,18,15,19,19,17,19,16,19,19,19,19,19,18,19,
