Current Attendence Sheet Data of POS22653  |  All Type


-,2019-08-01-10:00:00-Lect-1H-ng,2019-08-13-08:00:00-Lect-1H-ng,2019-12-16-08:00:00-Lect-1H-ng,2019-12-17-08:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-1H-ng,2019-12-24-08:00:00-Lect-1H-ng,2019-12-31-08:00:00-Lect-1H-ng,2020-01-01-08:00:00-Lect-1H-ng,2020-01-07-08:00:00-Lect-1H-ng,2020-01-08-15:00:00-Lect-2H-ng,2020-01-14-08:00:00-Lect-1H-ng,2020-01-20-12:00:00-Lect-1H-ng,2020-01-21-08:00:00-Lect-1H-ng,2020-01-28-08:00:00-Lect-1H-ng,2020-01-29-15:00:00-Lect-2H-ng,2020-02-05-15:00:00-Lect-2H-ng,2020-02-11-08:00:00-Lect-1H-ng,2020-02-12-15:00:00-Lect-1H-ng,2020-02-18-08:00:00-Lect-1H-ng,%
HS/2017/16188,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,95 %,
HS/2017/16205,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,59 %,
HS/2017/16289,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16312,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2017/16339,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16355,M,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,73 %,
HS/2017/16362,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,M,1,1,0,82 %,
HS/2017/16364,1,0,1,1,1,1,1,1,M,M,1,1,0,1,1,1,1,1,1,91 %,
HS/2017/16397,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,86 %,
HS/2017/16408,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,86 %,
HS/2017/16422,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16486,M,1,1,1,0,1,1,1,1,1,0,1,1,1,E,0,1,1,1,82 %,
HS/2017/16496,M,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,M,1,1,91 %,
HS/2017/16509,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,59 %,
HS/2017/16556,E,E,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16587,M,M,M,M,M,M,0,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16590,M,M,1,1,0,0,1,1,1,1,0,1,1,1,E,E,E,E,1,86 %,
Total,14,12,16,17,13,15,17,17,16,14,11,18,15,18,16,17,15,16,13,
