Current Attendence Sheet Data of SLS11513  |  All Type


-,2019-02-25-08:00:00-Lect-1H-ng,2019-02-27-08:00:00-Lect-2H-ng,2019-02-27-08:00:00-Lect-1H-ng,2019-02-27-08:00:00-Lect-2H-ng,2019-02-27-08:00:00-Lect-1H-ng,2019-03-01-08:00:00-Lect-2H-ng,2019-03-08-08:00:00-Lect-2H-ng,2019-03-13-08:00:00-Lect-1H-ng,2019-03-15-08:00:00-Lect-2H-ng,2019-03-22-08:00:00-Lect-2H-ng,2019-04-03-08:00:00-Lect-1H-ng,2019-05-22-08:00:00-Lect-1H-ng,2019-05-27-08:00:00-Lect-2H-ng,2019-05-29-08:00:00-Lect-1H-ng,2019-05-31-08:00:00-Lect-2H-ng,2019-06-07-08:00:00-Lect-2H-ng,2019-06-10-09:00:00-Lect-2H-ng,2019-06-10-09:00:00-Lect-2H-ng,2019-06-10-09:00:00-Lect-2H-ng,2019-06-10-09:00:00-Lect-2H-ng,2019-06-12-08:00:00-Lect-1H-ng,2019-06-14-08:00:00-Lect-2H-ng,%
HS/2018/16621,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,33 %,
HS/2018/16623,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,56 %,
HS/2018/16624,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,53 %,
HS/2018/16625,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,50 %,
HS/2018/16626,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,56 %,
HS/2018/16633,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,56 %,
HS/2018/16634,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,50 %,
HS/2018/16635,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,39 %,
HS/2018/16637,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17 %,
HS/2018/16645,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,39 %,
HS/2018/16647,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,50 %,
HS/2018/16655,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,44 %,
HS/2018/16656,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,53 %,
HS/2018/16659,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,50 %,
HS/2018/16660,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,39 %,
HS/2018/16661,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,42 %,
HS/2018/16664,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50 %,
HS/2018/16665,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,47 %,
HS/2018/16666,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,53 %,
HS/2018/16668,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,42 %,
HS/2018/16669,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,50 %,
HS/2018/16670,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,42 %,
HS/2018/16671,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,39 %,
HS/2018/16672,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,33 %,
HS/2018/16675,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,28 %,
HS/2018/16677,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,50 %,
HS/2018/16679,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,42 %,
HS/2018/16681,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,39 %,
HS/2018/16682,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,39 %,
