Current Attendence Sheet Data of SLS12513  |  All Type


-,2019-08-01-10:00:00-Lect-2H-ng,2019-08-05-11:00:00-Lect-1H-ng,2019-08-08-10:00:00-Lect-2H-ng,2019-08-15-10:00:00-Lect-2H-ng,2019-08-19-11:00:00-Lect-1H-ng,2019-08-22-10:00:00-Lect-2H-ng,2019-12-09-11:00:00-Lect-1H-ng,2019-12-12-10:00:00-Lect-2H-ng,2019-12-19-10:00:00-Lect-2H-ng,2019-12-23-11:00:00-Lect-1H-ng,2019-12-30-11:00:00-Lect-1H-ng,2020-01-02-10:00:00-Lect-2H-ng,2020-01-06-10:00:00-Lect-2H-ng,2020-01-06-11:00:00-Lect-1H-ng,2020-01-09-10:00:00-Lect-2H-ng,2020-01-13-11:00:00-Lect-1H-ng,2020-01-16-10:00:00-Lect-2H-ng,2020-01-20-11:00:00-Lect-1H-ng,2020-01-27-11:00:00-Lect-1H-ng,2020-01-30-10:00:00-Lect-2H-ng,2020-02-03-11:00:00-Lect-1H-ng,2020-02-10-11:00:00-Lect-1H-ng,2020-02-13-10:00:00-Lect-2H-ng,2020-02-17-11:00:00-Lect-1H-ng,%
HS/2017/16154,M,M,M,M,M,M,M,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,100 %,
HS/2017/16446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,97 %,
HS/2018/16621,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,94 %,
HS/2018/16623,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16624,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,89 %,
HS/2018/16625,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,92 %,
HS/2018/16626,1,1,1,1,0,1,1,1,1,1,M,1,1,M,1,1,1,1,0,1,M,M,1,1,94 %,
HS/2018/16633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16634,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16637,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,86 %,
HS/2018/16645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16647,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16655,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,86 %,
HS/2018/16656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,97 %,
HS/2018/16660,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16664,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16665,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16666,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16669,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,94 %,
