Current Attendence Sheet Data of SLS32523  |  All Type


-,2019-08-05-08:00:00-Lect-2H-ng,2019-08-06-09:00:00-Lect-1H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-12-09-08:00:00-Lect-2H-ng,2019-12-10-11:00:00-Lect-1H-ng,2019-12-16-08:00:00-Lect-2H-ng,2019-12-17-11:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-2H-ng,2019-12-24-11:00:00-Lect-1H-ng,2019-12-30-08:00:00-Lect-2H-ng,2019-12-31-11:00:00-Lect-1H-ng,2020-01-06-08:00:00-Lect-2H-ng,2020-01-07-11:00:00-Lect-1H-ng,2020-01-13-08:00:00-Lect-2H-ng,2020-01-14-11:00:00-Lect-1H-ng,2020-01-20-08:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-1H-ng,2020-01-21-11:00:00-Lect-1H-ng,2020-01-27-08:00:00-Lect-2H-ng,2020-01-28-11:00:00-Lect-1H-ng,2020-02-03-08:00:00-Lect-2H-ng,2020-02-10-08:00:00-Lect-2H-ng,2020-02-11-11:00:00-Lect-1H-ng,2020-02-17-08:00:00-Lect-2H-ng,2020-02-18-11:00:00-Lect-1H-ng,%
HS/2015/15348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2015/15513,M,M,M,M,M,M,1,1,1,1,1,1,M,M,M,M,M,M,M,1,M,M,1,1,1,100 %,
HS/2016/15701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15703,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15711,E,E,1,E,E,E,E,1,1,1,E,1,1,1,M,1,1,1,1,M,1,1,1,1,1,100 %,
HS/2016/15715,1,0,1,E,E,E,E,1,1,1,E,1,1,1,1,1,1,1,1,0,1,1,1,1,1,95 %,
HS/2016/15717,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15719,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15729,1,1,1,0,1,1,1,E,E,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15732,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15746,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15749,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,95 %,
HS/2016/15759,1,1,1,M,M,M,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15783,M,M,M,M,E,M,1,E,M,M,E,M,E,1,1,M,0,M,M,1,M,1,1,1,1,97 %,
