Current Attendence Sheet Data of SLS32643  |  All Type


-,2019-07-31-16:00:00-Lect-2H-ng,2019-08-05-14:00:00-Lect-2H-ng,2019-08-08-12:00:00-Lect-1H-ng,2019-08-19-14:00:00-Lect-1H-ng,2019-08-21-15:00:00-Lect-2H-ng,2019-12-09-12:00:00-Lect-1H-ng,2019-12-12-12:00:00-Lect-1H-ng,2019-12-18-16:00:00-Lect-1H-ng,2019-12-19-12:00:00-Lect-1H-ng,2019-12-23-14:00:00-Lect-1H-ng,2019-12-30-14:00:00-Lect-1H-ng,2019-12-31-12:00:00-Lect-1H-ng,2020-01-01-16:00:00-Lect-1H-ng,2020-01-02-11:00:00-Lect-1H-ng,2020-01-02-16:00:00-Lect-2H-ng,2020-01-03-11:00:00-Lect-1H-ng,2020-01-07-14:00:00-Lect-1H-ng,2020-01-08-16:00:00-Lect-1H-ng,2020-01-13-14:00:00-Lect-1H-ng,2020-01-16-12:00:00-Lect-1H-ng,2020-01-20-14:00:00-Lect-1H-ng,2020-01-22-16:00:00-Lect-2H-ng,2020-01-23-12:00:00-Lect-1H-ng,2020-01-27-12:00:00-Lect-1H-ng,2020-01-29-16:00:00-Lect-1H-ng,2020-01-30-12:00:00-Lect-1H-ng,2020-02-05-16:00:00-Lect-1H-ng,2020-02-06-11:00:00-Lect-1H-ng,2020-02-10-14:00:00-Lect-1H-ng,2020-02-12-16:00:00-Lect-1H-ng,%
HS/2016/15723,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15726,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,86 %,
HS/2016/15736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,91 %,
HS/2016/15744,M,E,1,M,0,1,M,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,91 %,
HS/2016/15764,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,89 %,
HS/2016/15770,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15776,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15782,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15791,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15809,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,89 %,
HS/2016/15835,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15840,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15843,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15845,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15867,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15883,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15942,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15961,M,M,M,M,M,1,1,1,1,1,1,M,M,M,1,M,M,M,M,1,1,M,1,M,M,M,M,M,M,1,100 %,
HS/2016/15963,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15994,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16017,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16071,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16104,E,E,1,E,E,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,80 %,
HS/2016/16108,E,E,E,E,E,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,E,1,E,1,80 %,
Total,18,22,18,21,15,15,20,19,20,19,24,21,22,24,23,23,23,23,23,23,23,24,23,24,21,23,23,24,22,24,
